name,hex,rgb,cmyk,description
Delicate White,#F1F2EE,"(241, 242, 238)","(0, 0, 2, 5)","['Delicate White is a very well-named shade. It’s close to being true white with just a bit of wispy gray. It also has a decent balance of red, green, and blue, and it’s a highly versatile shade.']"
Coconut White,#E9EDF6,"(233, 237, 246)","(5, 4, 0, 4)","['Not to be confused with Coconut, Coconut White is a refreshing shade with a great balance of cyan and magenta. This combination gives it cool undertones with a hint of pink-red energy.']"
Cake Batter,#F0EDDB,"(240, 237, 219)","(0, 1, 9, 6)","['This shade looks a good bit like its namesake. It has a bit of a golden-brown undertone, but it’s still pale enough to be considered a shade of white. It’s an excellent choice if you’d like a slightly tinted white that’s brownish instead of grayish.']"
White Sand,#ECE9E4,"(236, 233, 228)","(0, 1, 3, 7)","['White sand is one of the most common white things in nature. And like the actual sand, White Sand isn’t exactly pure white in color. It has a tint of very slight brownish gray.']"
Stone White,#FBF6F0,"(251, 246, 240)","(0, 2, 4, 2)","['Appropriately, Stone White is just about the color of white quartz or very pale sandstone. If you prefer a very pale neutral that still has some element of warmth, it’s a great choice.']"
White Chocolate,#EDE6D6,"(237, 230, 214)","(0, 3, 10, 7)","['Actual white chocolate is usually a creamy white in color, but this color looks more like a combination of milk chocolate and white chocolate. Still, it’s a great choice if you want a lovely, pale cocoa white.']"
Retro White,#EDEAE2,"(237, 234, 226)","(0, 1, 5, 7)","['Many colors on the list look like vintage-inspired shades, and Retro White is a great one to select if you like one that strikes a good balance between warm and cool.']"
Abbey,#494F55,"(73, 79, 85)","(14, 7, 0, 67)",['Abbey refers to a color that is warm gray with brownish tints as it is a mixture of both half gray and half brown.']
Ash gray,#666362,"(102, 99, 98)","(0, 3, 4, 60)","['Ash gray is a shade on the lighter spectrum of black that is said to resemble that of ashes, although it may sometimes contain darker black or brown tones.']"
Asphalt,#0C0404,"(12, 4, 4)","(0, 67, 67, 95)","['Asphalt refers to a color that is a blend of darker gray and black, and this name comes from asphalt, the black sticky liquid used in roads and walkways.']"
Black bean,#3D0C02,"(61, 12, 2)","(0, 80, 97, 76)",[]
Black cat,#413839,"(65, 56, 57)","(0, 14, 12, 75)",['Black cat color derives its name from the feline pet and also its similar color tone of medium black hue with brown tones.']
Black cow,#4C4646,"(76, 70, 70)","(0, 8, 8, 70)","['Black cow receives its name from black colored cattle, and the dark tone of the color features some brownish tints.']"
Black eel,#463E3F,"(70, 62, 63)","(0, 11, 10, 73)","['Black eel color resembles the body of the American eel, and it is more dark gray in tone.']"
Black olive,#3B3C36,"(59, 60, 54)","(2, 0, 10, 76)","['Black olive is a color that stands for the color of black olives, and in the RAL color matching system, it’s simply referred to as “olive”.']"
Charcoal,#36454F,"(54, 69, 79)","(32, 13, 0, 69)","['Charcoal color represents that of the dark gray color that comes from burnt wood, otherwise known as common charcoal used for starting fires for warmth, cooking, etc.']"
Charleston green,#232B2B,"(35, 43, 43)","(19, 0, 0, 83)","['Charleston green color refers to a black color mixed with blue and yellow that originated back during the American Civil War times with its name-sake deriving from Charleston, South Carolina.']"
Dark jungle green,#1A2421,"(26, 36, 33)","(28, 0, 8, 86)","['Dark jungle green is much like a darker version of the jungle green tone that resembles a lush forest setting, yet the color contains far more traces of black than anything else.']"
Davy’s gray,#555555,"(85, 85, 85)","(0, 0, 0, 67)","['Davy’s gray is a color named after the English landscape painter Henry Davy, and it came to be through the combination of carbon black, slate, and iron oxide.']"
Dim gray,#696969,"(105, 105, 105)","(0, 0, 0, 59)",['Dim gray color is simply known as a darker version of gray.']
Ebony,#555D50,"(85, 93, 80)","(9, 0, 14, 64)","['Ebony color gets its name from the ebony tree, which is a black/brown hardwood.']"
Eerie black,#1B1B1B,"(27, 27, 27)","(0, 0, 0, 89)","['Eerie black color comes from a specialty box of Crayola crayons with its influence coming from a spooky, Halloween setting.']"
Granite,#676767,"(103, 103, 103)","(0, 0, 0, 60)","['Granite color gets its name from a common type of rock, the gray version, used in home décor for countertops.']"
Gray,#808080,"(128, 128, 128)","(0, 0, 0, 50)","['Gray color sits comfortably between both black and white, and because of this, it is known as a more neutral color.']"
Gray wolf,#504A4B,"(80, 74, 75)","(0, 7, 6, 69)","['Gray wolf color refers to one of the many color tones of the fur of gray wolves, and this color tends to consist of some brownish and gray hues.']"
Gunmetal,#2C3539,"(44, 53, 57)","(23, 7, 0, 78)","['Gunmetal is a dark gray color that has tints of purples or blues, and it gets its name from gunmetal, a type of bronze alloy material.']"
Iridium,#3D3C3A,"(61, 60, 58)","(0, 2, 5, 76)","['Iridium is a color that’s named from the metallic element iridium, and it is typically a very dark gray tone.']"
Jet,#343434,"(52, 52, 52)","(0, 0, 0, 80)","['Jet is a color that gets its name from the mineraloid gemstone known as jet, and it’s typically a dark black shade that has undertones of blue, purple, or a combination of the two.']"
Licorice,#1A1110,"(26, 17, 16)","(0, 35, 38, 90)","['Licorice is a color that’s slightly light black in hue, and it receives its name and color tone from licorice candy.']"
Midnight,#2B1B17,"(43, 27, 23)","(0, 37, 47, 83)","['Midnight is one of many types of colors bearing the name, but in this case, it can resemble that of a dark midnight sky with undertones of brown.']"
Night,#0C090A,"(12, 9, 10)","(0, 25, 17, 95)","['Night is a color that takes its name from the darkness of night, and it’s almost as dark as black itself.']"
Oil,#3B3131,"(59, 49, 49)","(0, 17, 17, 77)",['Oil is a color tone that closely resembles the dark brown/black tone of oil itself.']
Old burgundy,#43302E,"(67, 48, 46)","(0, 28, 31, 74)","['Old burgundy is a darker color of burgundy, so it contains some red undertones with predominately black overlays.']"
Onyx,#353839,"(53, 56, 57)","(7, 2, 0, 78)","['Onyx is a color that derives its name from the mineral onyx, and the shade of it is slightly dark black.']"
Outer space,#414A4C,"(65, 74, 76)","(14, 3, 0, 70)",['Outer space is a shade that can act as a metaphor to the vast darkness of space.']
Raisin black,#242124,"(36, 33, 36)","(0, 8, 0, 86)",['Raisin black is a color that receives its name from black raisins thanks to their darker color tone.']
Smoky black,#100C08,"(16, 12, 8)","(0, 25, 50, 94)","['Smoky black is a color that takes its name from the color of black smoke, yet it looks only a couple shades lighter than true black.']"
Taupe,#483C32,"(72, 60, 50)","(0, 17, 31, 72)","['Taupe is a color that stems from dark gray-brown, and this is oftentimes referred to as a “dark taupe” as well.']"
Vampire gray,#565051,"(86, 80, 81)","(0, 7, 6, 66)",['Vampire gray is a color between gray and black. It tends to be used in Halloween themed works of art because of its name.']
Black Leather Jacket,#253529,"(37, 53, 41)","(30, 0, 23, 79)","['True to its name, this color does have the soft black look of a matte leather jacket. As indicated in its RGB values, it has proportionally more green than many other black shades. That gives it a somewhat soft look that goes especially well with jewel tones.']"
Cafe Americano,#362819,"(54, 40, 25)","(0, 26, 54, 79)","['Just like black coffee, Cafe Americano is a shade of black with just a small hint of warmth. That warmth comes mostly from its sizable amount of yellow. It also has a burst of magenta that lends it a pleasant energy.']"
Blackberry,#3A3A38,"(58, 58, 56)","(0, 0, 3, 77)","['Blackberry is a lovely shade of black that’s ideal if you don’t want an overly deep, dark black. It has just a hint of yellow, and its balanced amounts of blue, red, and green gives it a pleasingly versatile quality that’s great for a variety of applications.']"
Lamp Black,#2E473B,"(46, 71, 59)","(35, 0, 17, 72)","['It might seem odd to describe a black shade as “lamp” – after all, lamps are more commonly associated with glowy yellows. Regardless, this cool-leaning shade of black is ideal when you need to use black but want to avoid a color that’s overly dark or deep.']"
